Name,Aa-T,Aa-A,Aa-EN,Aa-RI,Aa-VE,Aa-CR,Aa-MO,Aa-MMt,Ab-T,Ab-A,Ab-EN,Ab-RI,Ab-VE,Ab-CR,Ab-MO,Ab-MMt,Ba-T,Ba-A,Ba-EN,Ba-RI,Ba-VE,Ba-CR,Ba-MO,Ba-MMt,Bb-T,Bb-A,Bb-EN,Bb-RI,Bb-VE,Bb-CR,Bb-MO,Bb-MMt,O-2p,M-oct,M-tetra,Hybri(O-Moct),Hybri(O-Mtet),weak-hybri
[Cu0.25Co0.75]Al2O4,Cu,0.25,1.9,87,11,2.3,-0.862,-1.896,Co,0.75,1.88,79,9,2.3,-0.56,-1.206,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-0.4,3.942,-0.526,4.342,0.126,4.342
[Zn0.25Co0.75]Al2O4,Zn,0.25,1.65,88,12,2.3,-0.106,-5.304,Co,0.75,1.88,79,9,2.3,-0.56,-1.206,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-1.159,1.08,-2.057,2.239,0.898,2.239
[Zn0.5Co0.5]Al2O4,Zn,0.5,1.65,88,12,2.3,-0.106,-5.304,Co,0.5,1.88,79,9,2.3,-0.56,-1.206,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-0.33,4.091,-3.188,4.421,2.858,4.421
Co[Mn0.25Al1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Mn,0.25,1.55,72,7,2.3,-0.687,0.532,Al,1.75,1.61,67.5,3,1.9,-2.475,6.49,-2.181,0.224,-2.091,2.405,0.09,2.405
Co[Fe0.25Al1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Fe,0.25,1.83,69,8,2.3,-2.231,-2.167,Al,1.75,1.61,67.5,3,1.9,-2.475,6.49,-0.918,1.222,-0.766,2.14,0.152,2.14
Co[Ni0.25Al1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Ni,0.25,1.92,70,10,2.3,0.375,-2.236,Al,1.75,1.61,67.5,3,1.9,-2.475,6.49,-0.739,-0.231,-1.535,0.508,0.796,0.796
FeAl2O4,Fe,1,1.83,75,8,2.3,-1.609,-1.195,0,0,0,0,0,0,0,0,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.371,0.059,-0.609,2.43,1.762,2.43
[Na0.25Fe0.75]Al2O4,Na,0.25,0.93,116,1,2.2,0.145,6.925,Fe,0.75,1.83,75,8,2.3,-1.609,-1.195,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.609,0.048,-1.283,2.657,1.326,2.657
[Sc0.25Fe0.75]Al2O4,Sc,0.25,1.36,88.5,3,2.5,-5.079,1.046,Fe,0.75,1.83,75,8,2.3,-1.609,-1.195,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-5.496,-3.723,-1.908,1.773,3.588,3.588
[Ti0.25Fe0.75]Al2O4,Ti,0.25,1.54,100,4,2.8,-4.853,0.97,Fe,0.75,1.83,75,8,2.3,-1.609,-1.195,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-3.447,-0.61,-0.379,2.837,3.068,3.068
[V0.25Fe0.75]Al2O4,V,0.25,1.63,93,5,2.7,-5.036,-0.265,Fe,0.75,1.83,75,8,2.3,-1.609,-1.195,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-4.324,-2.027,-1.536,2.297,2.788,2.788
[Cr0.25Fe0.75]Al2O4,Cr,0.25,1.66,87,6,2.5,-3.695,0.662,Fe,0.75,1.83,75,8,2.3,-1.609,-1.195,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-3.108,-0.559,-0.679,2.549,2.429,2.549
[Mn0.25Fe0.75]Al2O4,Mn,0.25,1.55,81,7,2.3,-0.666,1.014,Fe,0.75,1.83,75,8,2.3,-1.609,-1.195,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.476,0.009,-0.512,2.485,1.964,2.485
[Co0.25Fe0.75]Al2O4,Co,0.25,1.88,79,9,2.3,-0.56,-1.206,Fe,0.75,1.83,75,8,2.3,-1.609,-1.195,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.522,-0.369,-0.755,2.153,1.767,2.153
[Ni0.25Fe0.75]Al2O4,Ni,0.25,1.92,83,10,2.3,0.212,-2.225,Fe,0.75,1.83,75,8,2.3,-1.609,-1.195,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.416,-0.371,-0.428,2.045,1.988,2.045
[Cu0.25Fe0.75]Al2O4,Cu,0.25,1.9,87,11,2.3,-0.862,-1.896,Fe,0.75,1.83,75,8,2.3,-1.609,-1.195,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.571,-0.382,-1.226,2.189,1.345,2.189
[Zn0.25Fe0.75]Al2O4,Zn,0.25,1.65,88,12,2.3,-0.106,-5.304,Fe,0.75,1.83,75,8,2.3,-1.609,-1.195,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-2.595,0.012,-3.079,2.607,0.484,2.607
NiAl2O4,Ni,1,1.92,83,10,2.3,0.212,-2.225,0,0,0,0,0,0,0,0,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-1.314,1.144,-2.771,2.458,1.457,2.458
[Ni0.75Ti0.25]Al2O4,Ni,0.75,1.92,83,10,2.3,0.212,-2.225,Ti,0.25,1.54,100,4,2.8,-4.853,0.97,Al,2,1.61,67.5,3,1.9,-2.475,6.49,0,0,0,0,0,0,0,0,-3.661,-1.436,-2.851,2.225,0.81,2.225
[Ni0.75Al0.25][Ni0.25Al1.75]O4,Ni,0.75,1.92,83,10,2.3,0.212,-2.225,Al,0.25,1.61,67.5,3,1.9,-3.361,6.146,Ni,0.25,1.92,70,10,2.3,0.375,-2.236,Al,1.75,1.61,67.5,3,1.9,-2.475,6.49,-1.547,-1.124,-2.675,0.423,1.128,1.128
